,ts_code,symbol,name,area,industry,list_date
1717,688313.SH,688313,仕佳光子-U,河南,通信设备,20200812
1718,688317.SH,688317,之江生物,上海,生物制药,20210118
1719,688318.SH,688318,财富趋势,深圳,软件服务,20200427
1720,688321.SH,688321,微芯生物,深圳,化学制药,20190812
1721,688330.SH,688330,宏力达,上海,电气设备,20201015
1722,688333.SH,688333,铂力特,陕西,机械基件,20190722
1723,688335.SH,688335,复洁环保,上海,环境保护,20200817
1724,688336.SH,688336,三生国健,上海,生物制药,20200722
1725,688338.SH,688338,赛科希德,北京,医疗保健,20200806
1726,688339.SH,688339,亿华通-U,北京,汽车配件,20200810
1727,688350.SH,688350,富淼科技,江苏,化工原料,20210128
1728,688356.SH,688356,键凯科技,北京,化学制药,20200826
1729,688357.SH,688357,建龙微纳,河南,化工原料,20191204
1730,688358.SH,688358,祥生医疗,江苏,医疗保健,20191203
1731,688360.SH,688360,德马科技,浙江,机械基件,20200602
1732,688363.SH,688363,华熙生物,山东,生物制药,20191106
1733,688365.SH,688365,光云科技,浙江,软件服务,20200429
1734,688366.SH,688366,昊海生科,上海,生物制药,20191030
1735,688368.SH,688368,晶丰明源,上海,半导体,20191014
1736,688369.SH,688369,致远互联,北京,软件服务,20191031
1737,688377.SH,688377,迪威尔,江苏,专用机械,20200708
1738,688378.SH,688378,奥来德,吉林,专用机械,20200903
1739,688379.SH,688379,华光新材,浙江,小金属,20200819
1740,688386.SH,688386,泛亚微透,江苏,化工原料,20201016
1741,688388.SH,688388,嘉元科技,广东,铜,20190722
1742,688389.SH,688389,普门科技,深圳,医疗保健,20191105
1743,688390.SH,688390,固德威,江苏,电气设备,20200904
1744,688393.SH,688393,安必平,广东,医疗保健,20200820
1745,688396.SH,688396,华润微,江苏,半导体,20200227
1746,688398.SH,688398,赛特新材,福建,矿物制品,20200211
